id,keyword,text,target,RoBERTa,Accuracy,
1,ablaze,"Yesterday, at Igando, two men allegedly robbed a POS attendant. A mob descended on them and set them ablaze; burnt beyond recognition. Police arrived but the mob had fled. Investigation has commenced. Again, how do we put a stop to this archaic and criminal practice?'",1,1,1,
2,ablaze,- NDLEA sets ablaze the N194 Billion worth of cocaine recently seized from an Ikorodu Warehouse.  https://t.co/nGmn8Csyak',1,1,1,83.90%
3,ablaze,"Putin's cancelled speech appears to have set Moscow ablaze with anxiety. For a hypothetical family of three (let's say a mom, a dad, and an adult son), a flight from Moscow to Istanbul is now approaching $3200.  https://t.co/mCIlSQm5kW'",1,0,0,
4,ablaze,"Seeing all over the country, people wearing maroon for #UvaldeStrong. Itâ€™s bitter sweet. Seeing all of these babies first day of school pics puts a smile on my face, but the hole in my heart is ablaze. This is #Uziyah s first day of school pic. He will never get to lace up new  https://t.co/6qQ8E0CLaE'",0,0,1,
5,ablaze,Death of a girl set ablaze in Dumka | Jharkhand Child Welfare Committee recommends SP to add sections under POCSO Act in the matter. The Committee found out that the deceased was 15 years old &amp; not 19 as mentioned by Police in her recorded statement: Dumka Public Relations Office',1,1,1,
6,ablaze,"Jharkhand | People protest after a class 12 girl who was set ablaze by a man in Dumka for allegedly turning down his proposal, succumbed to her burn injuries yesterday; Section 144 imposed  https://t.co/yXaFlNaaW8'",1,1,1,
7,ablaze,My hotel has been lit ablaze. A proper punishment for my crimes.  TouchÃ© God. TouchÃ©â€¦',0,0,1,
8,ablaze,"Bello Turjiâ€™s last mass atrocity that we know of was setting 23 travellers, including a pregnant woman, ablaze in Sokoto. Now, Zamfara govt says heâ€™s repented and is helping â€œwith killing unrepentant banditsâ€. Donâ€™t be surprised if the govt bought him weapons and logistics soon.  https://t.co/ujMpJVN3Ev'",0,1,0,
9,accident,"ðŸ—£ï¸ Leo Messi on Mexico shirt accident: â€œIt was a misunderstanding, anyone who knows me knows that I don't disrespect anyone. I don't have to apologize, because I didn't disrespect the people of Mexico or the team or anyone.â€ ðŸ‡²ðŸ‡½'",0,0,1,
10,accident,Just got hospitalized due to a peekaboo accident.  They put me in the ICU.',1,0,0,
11,accident,Tragic accident today! Only a few days ago we were celebrating his retirement in here in Monaco. #rip Davide  https://t.co/S8hy6lbSbg',1,1,1,
12,accident,@JoJoFromJerz I have been in the automotive trade for over 35 years and currently manage over 5700 fleet assets including Sanitation trucks. This is not an accident.  This was a deliberate action and is a much bigger story that is simply not being told',0,0,1,
13,accident,"Film: My Name Is Khan, produced by Karan Johar, Shah Rukh Khan  A child from Mandira's previous marriage becomes Sameer Khan after she remarries with Rizwan Khan  On the day the child dies in an accident, he had taken prasad and aarti offering, but missed the post-namaz ritual'",0,0,1,
14,accident,"WB: CM Mamata Banerjee was attending a program to distribute 15000 blankets. When she found that blankets were not there, she sat on chair and asked organisers to bring blanket 1st then she will start the program. Then BDO office sent a truck in hurry which met with an accidentðŸ˜‚  https://t.co/V27dQlCCSO'",0,0,1,
15,accident,"Souls donâ€™t meet by accident even if things donâ€™t work out, maybe they came into your life as a lesson, to help you grow or realize your value, or to help see you what YOU donâ€™t want. Thereâ€™s always a reason behind why the universe puts them in your path.'",0,0,1,
16,accident,"dude ""Bowser [demands Kamek] summons Luigi with magic and evily strokes his chin with his sharp claws as a threat"" is like age-old shipping fanfic material, this is unbelivably gay even if by accident  https://t.co/8HCrWBdT46'",0,0,1,
17,accident,"It was not an accident or a coincidence why a red wave crashed across New York in 2022, while also missing so much of the rest of the country.'",1,1,1,
18,accident,#CatsOnTwitter mum has some very sad news lully furiends . I was a victim of a road traffic accident today and sadly passed over the rainbow . My mum is devastated and cant stop crying but she knows our love is a bond that even death cannot break and we will reunite one day  https://t.co/697e9ouwW7',0,1,0,
19,accident,"Balenciaga wants you to believe that their pedophilic ad campaign was an â€œaccident.â€   This is Lotta Volkova, their Chief Designer.  https://t.co/bINF8uoLuw'",0,0,1,
20,accident,"A man and his son are in a car accident. The man is killed instantly. His son is rushed to the hospital. The surgeon says â€œI canâ€™t operate on this patient, he is my sonâ€. The car then crashes through the wall of the operating room, killing everyone. How is this possible? (Tesla)'",1,1,1,
21,ambulance,"23-year-old dead of a heart attack while driving an ambulance and crashes and sends 2 other people to the hospital... yeah, there is no problem here...'",0,1,0,
22,ambulance,"Ru-attacks on energy facilities â€“ not just about light. But about interrupted surgeries, canceled dialysis, switched off ventilators, ambulance that did not arrive. Does it affect frontline? No. Simply fascism of 21st century â€“ civilian cities terror to the Z-propaganda applause.'",1,1,1,
23,ambulance,Thinking about the time I called the ambulance bc I thought I was dying (I was having a panic attack) and the EMT guy did a breathing exercise with me in and then TUCKED A PIECE OF MY HAIR BEHIND MY EAR and the panic attack stopped lmaooooo I have never recovered emotionally',0,0,1,
24,ambulance,"@kevinmnye1 I gave CPR to a man who was OD'ing behind my home a few years ago along with a retired nurse who lives next to me.   He passed as the ambulance arrived.  If we had had narcan, story would be different.   Opioid usage is a disease subsidized by corporations. 100%'",0,1,0,
25,ambulance,The key thing about the NHSâ€¦  Is that itâ€™s free at the point of access  But access is being removed  Be that a year long wait for surgery  A 6hr wait for an ambulance  Or a 5 year old boy being sent home to die needlessly due to â€œnot enough doctorsâ€   https://t.co/QUgMy2Ldlc',0,0,1,
26,ambulance,Iâ€™d like to see Pierre Poilievre or Andrew Scheer endure 5 hours of cross examination without leaving in an ambulance.',0,0,1,
27,ambulance,you have an accident on the second floor and the ambulance people see they need to get the guerney up a legends of the hidden temple challenge and they just shoot you like a horse',0,0,1,
28,ambulance,"A massive shout out to all NHS staff working in the ambulance service right now  Youâ€™re under eye-watering pressures &amp; I canâ€™t even imagine the degree of moral injury you must carry after each shift  We see you, we appreciate you, weâ€™d be lost without you.   THANK YOU ALL ðŸ’™'",0,0,1,
29,ambulance,"Itâ€™s 4AM  Our shift ended &amp; Urgent care was meant to close 4 HOURS ago  But myself, 2 nurses &amp; security guard are still here - so far waiting &gt; 7 hours for a category 2 ambulance for our pt  Weâ€™re exhausted, hungry &amp; dreading doing this all over again tomorrow  NHS is broken ðŸ˜ž'",0,0,1,
30,ambulance,Urgent Prayer Request for our little 15 month old Daisy. Sheâ€™s in an ambulance on the way to Childrenâ€™s Hospital in Phoenix. She suddenly stopped breathing. Not sure of much else right now.',1,1,1,
31,ambulance,"Mullah's regime does not send ambulance to the wounded people who were shot by #IRGCterrorists to move them to the hospital, but it gives the ambulances to the IRGC that uses them to move the repression forces and detainees. #iran #MahsaAmini  @WHO  @UNHumanRights  @Europarl_EN'",0,1,0,
32,ambulance,Can anyone name a business run as badly as the NHS?  Â£136billion and they canâ€™t provide an ambulance service and A&amp;E cover to match.  In any business the managers would be out the door.  We need proper logistics experts in to sort it out.',0,0,1,
33,ambulance,"I am so over this scaremongering of our ambulance and health  system. I was at a restaurant last night with my brother and his wife, he showed symptoms of a stroke, an ambulance was called, it arrived in less than 10 minutes. 000 operator was fantastic, paramedicâ€™s were brilliant'",0,0,1,
34,ambulance,"â€œMargaret, this motherfuckerâ€™s gonna die if we donâ€™t get him in the ambulance right now. You can weigh yourself later.â€  https://t.co/KP3l9c7SZj'",0,0,1,
35,ambulance,"A patient was killed inside an ambulance during a mob justice incident last night at Mshongoville informal settlement in Atteridgeville, Pta. Community members accused the man of crime and demanded justice on the spot. The ambulance was stoned.  https://t.co/RN3spcXsAr'",1,1,1,
36,annihilated,Never forget when Mac Miller annihilated Donald Trump ðŸ˜­ðŸ˜­   https://t.co/b52dzFV7x0',0,0,1,
